Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
41551,France,"This wine is young—full of acidity and rich yellow fruit. A blend of Petit and Gros Manseng, it has the typical honeyed edge yet is bone dry. It will take time for its intense acidity to calm down, so drink from late 2018.",Fantaisie,88,18.0,Southwest France,Jurançon Sec,,Roger Voss,@vossroger,Château de Jurque 2016 Fantaisie  (Jurançon Sec),Gros and Petit Manseng,Château de Jurque
72300,France,"A plump, charming white intended for early consumption, this blend of 60% Grenache Blanc and 40% Roussanne exhibits straightforward orchard and citrus fruit flavors. Cheery aromas of pineapple, white peach and almond lead the way in this bold, flavorful quaffer.",Buti Nages,87,11.0,Rhône Valley,Costières de Nîmes,,Joe Czerwinski,@JoeCz,Château de Nages 2013 Buti Nages White (Costières de Nîmes),Rhône-style White Blend,Château de Nages
96471,France,"With some weight behind it, this is a rounded wine, lightly flavored with apricot and lemon and a tang of bitter orange zest. The acidity is soft, an easy element in the texture.",,86,,Bordeaux,Graves,,Roger Voss,@vossroger,Château Guirauton 2007  Graves,Bordeaux-style White Blend,Château Guirauton
32621,France,"The Perrin family, with its long tradition of winemaking, consistently turn out delicious bargain-priced wines from the Côtes du Ventoux. This rosé blends cherries and chocolate with citrus and even touches of minerality and length rare in a $9 wine. Drink now.",,87,9.0,Rhône Valley,Côtes-du-Ventoux,,Joe Czerwinski,@JoeCz,La Vieille Ferme 2007 Rosé (Côtes-du-Ventoux),Rosé,La Vieille Ferme
10889,France,"Ripe, almost sweet, fruit is full of delicious black plum and berry flavors. The wine is rounded, opulent and generous to a fault. A solid core of darker tannins hold all this richness together. Drink from 2015.",,90,19.0,Southwest France,Cahors,,Roger Voss,@vossroger,Château Haut-Monplaisir 2012 Malbec (Cahors),Malbec,Château Haut-Monplaisir
44766,France,"Translated, the name of this vineyard means fogs, maybe a reference to a predisposition to get misty in the morning. Adjacent to Pommard, the wine has some of the structure of that village allied to the rounder character of Volnay. Together, these elements make for a wine that is likely to age well. Drink this ripe and smoky wine from 2023.",Les Brouillards Premier Cru,93,50.0,Burgundy,Volnay,,Roger Voss,@vossroger,Domaine Jessiaume 2015 Les Brouillards Premier Cru  (Volnay),Pinot Noir,Domaine Jessiaume
27131,France,"This is a well-balanced wine with honeyed ripeness contrasted with attractive, crisp acidity. Pineapple and baked-apple flavors are given a texture by the zing of the honey. It is ready to drink.",Les Deux Cèdres,87,15.0,Southwest France,Côtes de Gascogne,,Roger Voss,@vossroger,Domaine d'Arton 2012 Les Deux Cèdres Gros Manseng (Côtes de Gascogne),Gros Manseng,Domaine d'Arton
20443,France,"There are hints of oak aging in old barrels in this wine. That gives a rich texture to the bright red fruits and perfumed acidity. It is ready to drink now, although with some aging its fruit will mellow and it will broaden out. For that, wait until 2018.",Magellan,88,,Loire Valley,Anjou Villages,,Roger Voss,@vossroger,Domaine du Clos de l'Elu 2013 Magellan Cabernet Franc (Anjou Villages),Cabernet Franc,Domaine du Clos de l'Elu
58364,France,"This sumptuous wine is driven by perfectly ripe fruit as well as dense, dusty and dry tannins. Great swathes of blackberry sweep across the palate, followed by juicy acidity. Such a combination will make this impressive wine a delight to drink in 10 years and beyond.",,96,,Bordeaux,Pauillac,,Roger Voss,@vossroger,Château Lynch-Bages 2010  Pauillac,Bordeaux-style Red Blend,Château Lynch-Bages
123157,France,"Dry, yes, but this wine is also soft and ripe. It has an attractive toasty character giving power to the midpalate. It's in the finish that the real acidity and dryness show most.",Extra Brut,87,52.0,Champagne,Champagne,,Roger Voss,@vossroger,Mailly Grand Cru NV Extra Brut  (Champagne),Champagne Blend,Mailly Grand Cru
96995,France,"This wine is quiet at first, with tight scents of dark berries, black currant leaf and German chocolate cake. A pleasant tartness enlivens the slightly round palate, expressed in hints of cassis and underripe black cherry. Ample tannins provide some structure, with a medium-length finish.",,87,12.0,Languedoc-Roussillon,Pays d'Oc,,Lauren Buzzeo,@laurbuzz,Marius 2016 Grenache-Syrah (Pays d'Oc),Grenache-Syrah,Marius
32902,France,"One of the largest estates in the Médoc, this misses being in Pauillac by being—literally—on the wrong side of the rail tracks. Regardless, the location ultimately gives the wine depth and richness. It's ripe, dark, dense and very structured, showing the new wood that will integrate. Drink from 2018.",,91,25.0,Bordeaux,Haut-Médoc,,Roger Voss,@vossroger,Château Larose-Trintaudon 2012  Haut-Médoc,Bordeaux-style Red Blend,Château Larose-Trintaudon
75619,France,"93-95 Barrel sample. Honeyed and spice, with lots of nutmeg, a wine that is packed with flavors, lychee in character, defiantly rich and spicy.",Barrel sample,94,,Bordeaux,Barsac,,Roger Voss,@vossroger,Château Doisy-Daëne 2009 Barrel sample  (Barsac),Bordeaux-style White Blend,Château Doisy-Daëne
82916,France,"Full-bodied rosé, giving plenty of ripe red fruit flavors as well as attractive acidity. It's dry, textured while still fresh and lively.",Fleurs de Belcier,85,,Bordeaux,Bordeaux Rosé,,Roger Voss,@vossroger,Château de Belcier 2012 Fleurs de Belcier Red (Bordeaux Rosé),Bordeaux-style Red Blend,Château de Belcier
7309,France,"Ripe aromatic peach notes dominate the nose. The palate brings this out in much fuller force, helped along by a dollop of residual sweetness and balanced by a pleasantly bitter zesty phenolic edge. The off-dry flavors are generous while the body is balanced and rounded.",Collines de Granit,90,,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Domaine Charles Frey 2016 Collines de Granit Gewurztraminer (Alsace),Gewürztraminer,Domaine Charles Frey
100545,France,"This demonstrates the power, concentration and firm structure that comes from the vintage. The fruit is rich and powered by opulent black fruits, with a dark, intensely textured finish.",Champs Perdrix,92,,Burgundy,Vosne-Romanée,,Roger Voss,@vossroger,Domaine Perrot-Minot 2010 Champs Perdrix  (Vosne-Romanée),Pinot Noir,Domaine Perrot-Minot
44528,France,"A subdued nose of ripe, scented yellow Reine Claude and mirabelle plums suggests a sun-kissed wine. The palate reinforces this stone-fruited richness with elements of apricot and peach compote. This is off-dry but delicately balanced, rich but not opulent. Soft and gentle harmoniousness pervades from start to long finish.",Furstentum Grand Cru,91,27.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Joseph Fritsch 2014 Furstentum Grand Cru Gewurztraminer (Alsace),Gewürztraminer,Joseph Fritsch
109902,France,"This wine is ripe, with dusty tannins and blackberry fruits. It is balanced, fresh with acidity while keeping a good layer of fruitiness. The tannins and structure will allow it to age although it should develop quickly. Drink from 2017.",,89,25.0,Bordeaux,Haut-Médoc,,Roger Voss,@vossroger,Château Maurac 2013  Haut-Médoc,Bordeaux-style Red Blend,Château Maurac
112448,France,"A big, fat and rich wine, with tropical fruit flavors. There is spice from the prominent wood with an edge of vanilla. It's a powerhouse of a Chardonnay, ripe and full, the acidity lending crispness to the finish.",,94,,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Louis Jadot 2006  Corton-Charlemagne,Chardonnay,Louis Jadot
15069,France,"With some firm tannins and considerable red fruit juiciness, this is a wine that combines a good fruity character with a solid structure. The balancing side is the acidity and very fresh finish.",,89,21.0,Beaujolais,Saint-Amour,,Roger Voss,@vossroger,Domaine de Billards 2009  Saint-Amour,Gamay,Domaine de Billards
39230,France,"This is a cave cooperative's top white Crozes bottling, fermented and aged in oak. Smoky, toasty notes support exotic apricot and pineapple fruit that's initially attractive, then doesn't quite follow through on the finish. Drink now.",Les Hauts d'Eole,89,42.0,Rhône Valley,Crozes-Hermitage,,Joe Czerwinski,@JoeCz,Cave de Tain 2015 Les Hauts d'Eole Marsanne (Crozes-Hermitage),Marsanne,Cave de Tain
56415,France,"From Verzenay on the Montagne de Reims this wine is rich, structured and concentrated. It has a rich texture plus spice as well as zesty orange and red-currant fruits. The wine retains some of the tannins of the red grapes although goes much more for a mineral texture. Drink now.",Blanc de Noirs Grand Cru Brut,91,68.0,Champagne,Champagne,,Roger Voss,@vossroger,Henriet-Bazin NV Blanc de Noirs Grand Cru Brut Pinot Noir (Champagne),Pinot Noir,Henriet-Bazin
51733,France,The Bordeaux outpost of the Jackson family winery has produced a rich wine in this vintage. It is structured with swathes of ripe black fruits. The tannins promise some serious aging for this complex ripe wine with its solid texture. Drink from 2023.,,92,75.0,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Lassègue 2014  Saint-Émilion,Bordeaux-style Red Blend,Château Lassègue
56674,France,"This is the second wine of Château Pibran, whose vineyard is situated close to those of the the first growths of Mouton and Lafite. Structured and dense, this is a solid, powerful wine, packed with juicy black currant fruits and generous tannins. Give this wine until 2018 before drinking.",Château Tour Pibran,91,32.0,Bordeaux,Pauillac,,Roger Voss,@vossroger,Château Pibran 2012 Château Tour Pibran  (Pauillac),Bordeaux-style Red Blend,Château Pibran
90922,France,An unattractive green-herb aroma is followed by a green-pepper- and dill-flavored palate.,Sirius,81,12.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Maison Sichel 2010 Sirius  (Bordeaux Blanc),Bordeaux-style White Blend,Maison Sichel
58889,France,"Hints of dried pear and apple appear on the nose and suggest subtlety but the palate does otherwise: it comes in with bright citrus freshness, recalling lemon oil and candied lemon peel. This is absolutely dry and very sprightly, lively and even exuberant. There is great depth of fruit here that will just evolve. Drink 2017—2030.",Vieilles Vignes,93,20.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Domaine Jean Sipp 2013 Vieilles Vignes Riesling (Alsace),Riesling,Domaine Jean Sipp
17759,France,"The wine is developing quickly. It has all the elements, with ripe cherry flavors and acidity along some firm tannins. They are all coming together easily and generously. The attractive, ripe wine will be ready to drink from 2022.",,92,,Bordeaux,Margaux,,Roger Voss,@vossroger,Château Desmirail 2014  Margaux,Bordeaux-style Red Blend,Château Desmirail
10561,France,"Jammy, overripe fruit does not help this wine. Its soft tannins and acidity provide some pleasure, but that clumsy fruit gets in the way.",Le Pin de Belcier,84,53.0,Bordeaux,Castillon Côtes de Bordeaux,,Roger Voss,@vossroger,Château de Belcier 2015 Le Pin de Belcier  (Castillon Côtes de Bordeaux),Bordeaux-style Red Blend,Château de Belcier
37646,France,"The wood, with its heavy toast and licorice flavors, is dominant. That element makes for a wine that has weight but loses its fruit amid the firm extraction.",,87,34.0,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Fombrauge 2009  Saint-Émilion,Bordeaux-style Red Blend,Château Fombrauge
70719,France,"This is a rich wine that is full of generous fruit. It has a smooth texture with its broad red-fruit character that is gently lifted by acidity. Ripe and with a soft texture, the wine is ready to drink.",Esprit de Séduction,87,24.0,Beaujolais,Saint-Amour,,Roger Voss,@vossroger,Pascal Berthier 2015 Esprit de Séduction  (Saint-Amour),Gamay,Pascal Berthier
121729,France,"This is a softly ripe, blackberry-flavored wine, with its tannins lending a firm core. Along with the stalky fruit, the wine is dry with acidity. Drink now.",,84,,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Les Portes de Bordeaux 2009  Bordeaux,Bordeaux-style Red Blend,Les Portes de Bordeaux
95235,France,"Black cherry, currant and plum swirl in the bouquet, with hints of baking spice and bittersweet chocolate in the background. It's promising, but the palate comes across a bit flat, with soft tannins and a fleeting finish.",Iconique,84,11.0,Languedoc-Roussillon,Pays d'Oc,,Lauren Buzzeo,@laurbuzz,Domaines Pierre Chavin 2015 Iconique Cabernet Sauvignon (Pays d'Oc),Cabernet Sauvignon,Domaines Pierre Chavin
129599,France,"This is pretty pale for a Tavel, with a coppery tinge to its pink color. Notes of lime zest, wet stone and modest cherry-berry notes finish on a bright citrus note.",,90,24.0,Rhône Valley,Tavel,,Joe Czerwinski,@JoeCz,Prieuré de Montézargues 2014  Tavel,Rosé,Prieuré de Montézargues
28521,France,"In this soft, easy style of rosé, red fruits mingle with a caramel and spice backdrop. Refreshing acidity cuts through the ripe fruitiness, giving a rounded wine that works both as an apéritif and with food.",,85,15.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Mirabeau 2013 Rosé (Côtes de Provence),Rosé,Mirabeau
90174,France,"To harvest this wine, successive passes are made through the vines to get the ripest grapes. The result is a rounded, very rich wine, whose ripe fruits are right up front. There is some caramel and bitter almond, with a smooth final texture. It has weight and a good future over 3–5 years. Screwcap.",,92,,Loire Valley,Savennières,,Roger Voss,@vossroger,Domaine des Baumard 2009  Savennières,Chenin Blanc,Domaine des Baumard
106777,France,"Rich and with good fruit, this is a structured wine that has the density to age well. The dark-chocolate flavors mingle with the black-plum fruits, finishing with just a light lift of acidity.",,88,15.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château la Verrière 2015  Bordeaux Supérieur,Bordeaux-style Red Blend,Château la Verrière
90280,France,"Slenderness and light touch are apparent with the first sniff of fresh citrus blossom. The palate of this wine shows the full fruit of 2015 with pear, peach, orange and apple shimmering through. The soft, bouncy palate is super-clean, fresh and dry.",Brandluft,91,25.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Boeckel 2015 Brandluft Riesling (Alsace),Riesling,Boeckel
126500,France,"For a simple Beaujolais, this has richness and fruit density. It's as fruity as the wine should be, but it also has firm tannins. The finish has a minerally texture along with black-currant-like acidity.",La Platière,86,25.0,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Domaine Chasselay 2011 La Platière  (Beaujolais),Gamay,Domaine Chasselay
93149,France,"Made from Grenache, this fresh and deliciously fruity wine has a soft side from its ripe berry fruits and warm acidity. Produced in Languedoc, the wine has a sunny character, full of life and lightness.",,86,10.0,France Other,Vin de France,,Roger Voss,@vossroger,Le Val 2015 Rosé (Vin de France),Rosé,Le Val
26759,France,"This is an attractive, fruity, concentrated wine. It has a salty, mineral character that adds a tang to the ripe apple and lime fruits. With its lift of acidity, it is crisp and refreshing at the end.",Clos de Beauregard Vieilles Vignes Sur Lie,90,13.0,Loire Valley,Muscadet Sèvre et Maine,,Roger Voss,@vossroger,Guilbaud Frères 2015 Clos de Beauregard Vieilles Vignes Sur Lie  (Muscadet Sèvre et Maine),Melon,Guilbaud Frères
129172,France,"90-92 Densely tannic wine, with beautiful perfumes. It is ripe, concentrated, while retaining great charm",Barrel sample,91,,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château le Prieuré 2010 Barrel sample  (Saint-Émilion),Bordeaux-style Red Blend,Château le Prieuré
127278,France,"This prestige cuvée from Jacquart is a blend of grand and premier crus, giving a wine that is rich, round and approaching maturity with a dense, deep series of fruit and creamy toast flavors. It's a beautiful Champagne at this stage, poised between youth and maturity. The aftertaste leaves a crisper, fruitier end.",Cuvée Alpha,92,130.0,Champagne,Champagne,,Roger Voss,@vossroger,Jacquart 2006 Cuvée Alpha  (Champagne),Champagne Blend,Jacquart
102151,France,"This light blend of wines from across Provence is crisp but somewhat lacking in flavor. It has a light, bright aftertaste. Drink now.",Le Rosé de S,84,13.0,France Other,Mediterranée,,Roger Voss,@vossroger,Château Coussin 2016 Le Rosé de S Rosé (Mediterranée),Rosé,Château Coussin
98146,France,"This crisp blend of Braucol and Syrah comes from a gravel terrace. While it has fine acidity, the wine also has ripe red fruits, sweet plum flavors and an attractive sprinkling of spice. Drink this wine from 2017.",Les Gravels,90,17.0,Southwest France,Gaillac,,Roger Voss,@vossroger,Domaine Rotier 2014 Les Gravels Red (Gaillac),Red Blend,Domaine Rotier
52406,France,This is a young fruit salad of a wine although one that is ready to drink for its crisp acidity and sliced apple flavor. The wine has citrus and a mineral texture as well as a bright line in zesty orange. Drink now.,,87,20.0,Burgundy,Chablis,,Roger Voss,@vossroger,Domaine Chenevières 2015  Chablis,Chardonnay,Domaine Chenevières
2259,France,"86-88 Barrel sample An aroma that is almost port-like in its sweetness. To taste, the structure is lost in a swathe of ripeness that covers the fruit.",Barrel sample,87,,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château Larrivet Haut-Brion 2008 Barrel sample  (Pessac-Léognan),Bordeaux-style Red Blend,Château Larrivet Haut-Brion
41320,France,"The wine is fine, fresh and crisp. It has balanced acidity and lively pink grapefruit fruit flavors that give the wine a good, clean, clear character. There is a juicy bright, refreshing aftertaste. Drink now.",Sur Lie,85,12.0,Loire Valley,Muscadet Sèvre et Maine,,Roger Voss,@vossroger,Le Charmel 2014 Sur Lie  (Muscadet Sèvre et Maine),Melon,Le Charmel
95528,France,"This tight wine has intense acidity, smoky tannins, a light texture and an attractive strawberry-jelly-flavored finish.",Fleur de Granit,89,,Alsace,Alsace,,Roger Voss,@vossroger,Frey-Sohler 2009 Fleur de Granit Pinot Noir (Alsace),Pinot Noir,Frey-Sohler
106080,France,"This is a soft wine, with attractive red-currant fruit and open, smoky tannins. It's well balanced between the fruit, tannins and acidity, which lends a crisp aftertaste.",,85,28.0,Bordeaux,Montagne-Saint-Émilion,,Roger Voss,@vossroger,Château Piron 2009  Montagne-Saint-Émilion,Bordeaux-style Red Blend,Château Piron
40140,France,"Not many people have châteaus named after them. But Caroline Chanfreau-Philippon does and now she runs it as part of Château Lestage, both Cru Bourgeois. This is a rich and structured wine that is concentrated, ripe and juicy. With both attractive black-currant fruits typical of the vintage and firm tannins with tight structure, drink this wine from 2020.",,91,29.0,Bordeaux,Moulis-en-Médoc,,Roger Voss,@vossroger,Château Caroline 2014  Moulis-en-Médoc,Bordeaux-style Red Blend,Château Caroline
118438,France,"Quince, toast and ripe apricots combine easily in this full, rich wine. It has attractive spice, juicy apricot juice and a rounded, textured aftertaste conveying nutmeg as well as fresh acidity. Laurent and Sophie Cisneros bought Rouillac with a focus: eliminate chemical pesticides and herbicides. They built a barrel cellar to environmental European standards. Eric Boissenot consults.",,87,,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château de Rouillac 2013  Pessac-Léognan,Bordeaux-style White Blend,Château de Rouillac
25932,France,"This well-balanced, off-dry wine has a fine line of acidity to balance its gentle sweetness. It features flavors of vanilla and baked apples. The wine could be matched with fruit desserts, but it is best consumed on its own.",Délice Demi-Sec,87,,Champagne,Champagne,,Roger Voss,@vossroger,Mailly Grand Cru NV Délice Demi-Sec  (Champagne),Champagne Blend,Mailly Grand Cru
25733,France,"Soft, fruity wine, very smooth, its pear and green plum flavors integrated into acidity along with a light touch of sweetness. Ready to drink.",Réserve Spéciale,84,15.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Domaines Barons de Rothschild (Lafite) 2010 Réserve Spéciale  (Bordeaux Blanc),Bordeaux-style White Blend,Domaines Barons de Rothschild (Lafite)
66532,France,"A earthy element creeps into the peach notes on the nose. The medium-sweet palate comes in with refreshing phenolic zestiness. The flavors are full and bright, with just a hint of spice. Drink soon.",Réserve,88,18.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Lucien Albrecht 2016 Réserve Gewurztraminer (Alsace),Gewürztraminer,Lucien Albrecht
116276,France,"Firm wine that is packed with tannins as well as solid fruit. The wine is concentrated with a dense plum skin texture. Chunky, perfumed and solid.",Les Ravinets,90,19.0,Beaujolais,Juliénas,,Roger Voss,@vossroger,Ferraud et Fils 2009 Les Ravinets  (Juliénas),Gamay,Ferraud et Fils
17559,France,"This off-dry wine has a firm, tannic structure. The ripe strawberry flavors are soft and rounded, while the aftertaste is firm and structured by vibrant acidity.",Dry Collection Privée Rosé,86,,Champagne,Champagne,,Roger Voss,@vossroger,Collet NV Dry Collection Privée Rosé  (Champagne),Champagne Blend,Collet
